date,volume
2016-01-01,0
2016-01-02,406.878
2016-01-03,0
2016-01-04,294.049
2016-01-05,431.092
2016-01-06,591.309
2016-01-07,415.512
2016-01-08,445.638
2016-01-09,315.794
2016-01-10,280.592
2016-01-11,361.091
2016-01-12,450.668
2016-01-13,311.472
2016-01-14,465.505
2016-01-15,746.257
2016-01-16,344.55
2016-01-17,219.465
2016-01-18,291.342
2016-01-19,267.969
2016-01-20,404.593
2016-01-21,236.503
2016-01-22,0
2016-01-23,0
2016-01-24,363.426
2016-01-25,576.795
2016-01-26,364.835
2016-01-27,1109.424
2016-01-28,372.169
2016-01-29,402.048
2016-01-30,311.247
2016-01-31,753.629
2016-02-01,294.714
2016-02-02,310.754
2016-02-03,314.754
2016-02-04,304.667
2016-02-05,0
2016-02-06,186.874
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,20
2016-02-12,20
2016-02-13,0
2016-02-14,3.583
2016-02-15,257.954
2016-02-16,187.832
2016-02-17,211.04
2016-02-18,162.752
2016-02-19,280.798
2016-02-20,188.042
2016-02-21,0
2016-02-22,219.172
2016-02-23,215.087
2016-02-24,315.384
2016-02-25,244.881
2016-02-26,8.334
2016-02-27,533.259
2016-02-28,0
2016-02-29,7.458
2016-03-01,595.3
2016-03-02,511.376
2016-03-03,512.757
2016-03-04,448.924
2016-03-05,432.629
2016-03-06,0
2016-03-07,510.552
2016-03-08,538.464
2016-03-09,332.878
2016-03-10,435.794
2016-03-11,302.46
2016-03-12,286.798
2016-03-13,0
2016-03-14,474.673
2016-03-15,814.675
2016-03-16,599.298
2016-03-17,395.756
2016-03-18,575.883
2016-03-19,439.756
2016-03-20,0
2016-03-21,196.004
2016-03-22,184.338
2016-03-23,262.965
2016-03-24,347.257
2016-03-25,834.923
2016-03-26,337.797
2016-03-27,0
2016-03-28,375.718
2016-03-29,269.756
2016-03-30,345.631
2016-03-31,399.592
2016-04-01,331.302
2016-04-02,331.381
2016-04-03,0
2016-04-04,15.292
2016-04-05,646.275
2016-04-06,321.675
2016-04-07,347.258
2016-04-08,375.173
2016-04-09,370.428
2016-04-10,0
2016-04-11,492.466
2016-04-12,274.379
2016-04-13,432.34
2016-04-14,391.759
2016-04-15,455.301
2016-04-16,0
2016-04-17,0
2016-04-18,540.092
2016-04-19,510.464
2016-04-20,530.506
2016-04-21,418.465
2016-04-22,220.757
2016-04-23,286.052
2016-04-24,0
2016-04-25,446.511
2016-04-26,385.096
2016-04-27,401.836
2016-04-28,372.336
2016-04-29,1124.997
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,320.167
2016-05-04,430.209
2016-05-05,640.086
2016-05-06,307.042
2016-05-07,280.172
2016-05-08,0
2016-05-09,412.17
2016-05-10,456.417
2016-05-11,636.663
2016-05-12,6.876
2016-05-13,770.163
2016-05-14,10.042
2016-05-15,199.878
2016-05-16,444.835
2016-05-17,6.25
2016-05-18,814.165
2016-05-19,300.709
2016-05-20,326.414
2016-05-21,324.67
2016-05-22,0
2016-05-23,3.125
2016-05-24,667.081
2016-05-25,479.825
2016-05-26,445.833
2016-05-27,302.875
2016-05-28,213.583
2016-05-29,0
2016-05-30,340.374
2016-05-31,310.71
2016-06-01,342.581
2016-06-02,289.416
2016-06-03,333.622
2016-06-04,252.628
2016-06-05,0
2016-06-06,253.417
2016-06-07,34.042
2016-06-08,772.204
2016-06-09,552.5
2016-06-10,339.794
2016-06-11,331.949
2016-06-12,0
2016-06-13,594.492
2016-06-14,356.239
2016-06-15,674.902
2016-06-16,257.994
2016-06-17,350.065
2016-06-18,321.78
2016-06-19,0
2016-06-20,373.282
2016-06-21,324.401
2016-06-22,392.405
2016-06-23,397.451
2016-06-24,349.704
2016-06-25,737.824
2016-06-26,0
2016-06-27,401.111
2016-06-28,456.821
2016-06-29,1766.075
2016-06-30,1219.612
2016-07-01,569.918
2016-07-02,10.042
2016-07-03,163.998
2016-07-04,225.331
2016-07-05,218.997
2016-07-06,277.955
2016-07-07,212.791
2016-07-08,234.915
2016-07-09,151.163
2016-07-10,0
2016-07-11,320.458
2016-07-12,361.207
2016-07-13,452.709
2016-07-14,402.038
2016-07-15,381.798
2016-07-16,357.834
2016-07-17,0
2016-07-18,387.792
2016-07-19,410.075
2016-07-20,524.156
2016-07-21,453.157
2016-07-22,396.829
2016-07-23,246.959
2016-07-24,0
2016-07-25,396.866
2016-07-26,506.826
2016-07-27,735.687
2016-07-28,691.233
2016-07-29,21.293
2016-07-30,1085.278
2016-07-31,0
2016-08-01,379.881
2016-08-02,444.426
2016-08-03,472.415
2016-08-04,441.677
2016-08-05,535.508
2016-08-06,617.297
2016-08-07,0
2016-08-08,254.119
2016-08-09,252.082
2016-08-10,227.584
2016-08-11,206.248
2016-08-12,297.42
2016-08-13,271.543
2016-08-14,0
2016-08-15,326.58
2016-08-16,466.626
2016-08-17,354.289
2016-08-18,395.746
2016-08-19,503.079
2016-08-20,405.665
2016-08-21,0
2016-08-22,550.205
2016-08-23,586.162
2016-08-24,646.285
2016-08-25,561.535
2016-08-26,627.831
2016-08-27,169.958
2016-08-28,0
2016-08-29,281.788
2016-08-30,417.831
2016-08-31,424.788
2016-09-01,319.331
2016-09-02,0
2016-09-03,144.539
2016-09-04,0
2016-09-05,235.33
2016-09-06,1344.781
2016-09-07,365.914
2016-09-08,412.249
2016-09-09,347.248
2016-09-10,216.873
2016-09-11,308.457
2016-09-12,395.957
2016-09-13,289.54
2016-09-14,256.707
2016-09-15,244.086
2016-09-16,236.293
2016-09-17,61.334
2016-09-18,0
2016-09-19,306.249
2016-09-20,407.917
2016-09-21,428.54
2016-09-22,283.998
2016-09-23,312.586
2016-09-24,242.377
2016-09-25,435.67
2016-09-26,223.876
2016-09-27,2037.34
2016-09-28,245.584
2016-09-29,437.208
2016-09-30,284.959
2016-10-01,9.083
2016-10-02,130.375
2016-10-03,157.25
2016-10-04,204.586
2016-10-05,3
2016-10-06,500.668
2016-10-07,220.668
2016-10-08,239.791
2016-10-09,12
2016-10-10,196.167
2016-10-11,299.998
2016-10-12,2.042
2016-10-13,599.664
2016-10-14,309.624
2016-10-15,141.624
2016-10-16,0
2016-10-17,341.748
2016-10-18,684.832
2016-10-19,677.499
2016-10-20,414.667
2016-10-21,1285.458
2016-10-22,414.829
2016-10-23,0
2016-10-24,227.994
2016-10-25,471.206
2016-10-26,619.375
2016-10-27,716.456
2016-10-28,1145.499
2016-10-29,4.5
2016-10-30,113.583
2016-10-31,194.125
2016-11-01,199.291
2016-11-02,2.25
2016-11-03,318.625
2016-11-04,57.625
2016-11-05,6
2016-11-06,92.875
2016-11-07,155.833
2016-11-08,199.75
2016-11-09,13.5
2016-11-10,341.918
2016-11-11,579.75
2016-11-12,1
2016-11-13,527.626
2016-11-14,4.75
2016-11-15,480.627
2016-11-16,351.085
2016-11-17,359.171
2016-11-18,508.795
2016-11-19,372.129
2016-11-20,0
2016-11-21,511.426
2016-11-22,283.918
2016-11-23,199.627
2016-11-24,10.75
2016-11-25,1985.337
2016-11-26,3.25
2016-11-27,139.875
2016-11-28,347.292
2016-11-29,235
2016-11-30,370.458
2016-12-01,223.667
2016-12-02,293.122
2016-12-03,211.208
2016-12-04,0
2016-12-05,181.873
2016-12-06,184.791
2016-12-07,231.745
2016-12-08,209.164
